Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6320a00da15a2fe850ba8e8b,600976bb815503417c529565,APPROVED,2022-09-13T15:22:15.043000Z,2022-09-13T16:18:02.962000Z,2022-09-14T15:07:43.857000,2022-09-13T16:18:03.332600Z,3348,C8CDCVNZ,321,0,100,English,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6320a0528506dfd0772e9fe8,60990cfc7441dc3e4c3e071a,APPROVED,2022-09-13T15:28:39.389000Z,2022-09-13T16:21:02.370000Z,2022-09-14T15:07:30.158000,2022-09-13T16:21:03.229740Z,3143,C8CDCVNZ,104,1,100,English,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6320a06bcb7383cd02b3ae88,57a48845eeaf6d00018d62d7,APPROVED,2022-09-13T15:23:26.674000Z,2022-09-13T17:42:44.627000Z,2022-09-14T15:08:01.715000,2022-09-13T17:42:45.060371Z,8358,C8CDCVNZ,348,0,100,English,33,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6320a0c08a2ddc785473b8f7,62a737b12cc61f784c4aab36,APPROVED,2022-09-13T15:28:59.089000Z,2022-09-13T18:31:57.721000Z,2022-09-14T15:08:35.540000,2022-09-13T18:31:58.173151Z,10979,C8CDCVNZ,97,1,100,"English, Other",34,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Part-Time
6320a0c913ca9eed28bdf705,60f9da062b45eeec216f9ce4,APPROVED,2022-09-13T15:26:41.882000Z,2022-09-13T16:06:42.740000Z,2022-09-14T15:08:38.339000,2022-09-13T16:06:43.234209Z,2401,C8CDCVNZ,73,0,100,"English, Afrikaans",58,Female,White,South Africa,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6320a0ffe671becde92a2bbc,5bad4be8b712f30001b87947,APPROVED,2022-09-13T15:25:56.587000Z,2022-09-13T18:01:51.618000Z,2022-09-14T15:07:17.475000,2022-09-13T18:01:52.082966Z,9356,C8CDCVNZ,1057,3,100,English,38,Male,White,United States,United States,United States,English,No,Full-Time
6320a1269d5d3df30608d136,59b85e50d793b40001459a2f,APPROVED,2022-09-13T15:26:32.737000Z,2022-09-13T16:06:22.374000Z,2022-09-14T15:07:34.688000,2022-09-13T16:06:26.905894Z,2390,C8CDCVNZ,418,1,100,English,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6320a184d2905cfddd373aed,62d1228fcd446896ce7c9ec0,APPROVED,2022-09-13T15:28:36.094000Z,2022-09-13T17:03:17.677000Z,2022-09-14T15:08:36.717000,2022-09-13T17:03:27.889559Z,5682,C8CDCVNZ,10,0,100,English,30,Male,Black,DATA_EXPIRED,United States,United States,English,No,Full-Time
6320a2223c9c0b6b3607a74a,614726b73ab8022a9edc7f45,APPROVED,2022-09-13T15:32:44.183000Z,2022-09-13T16:47:27.861000Z,2022-09-14T15:08:20.677000,2022-09-13T16:47:28.238036Z,4484,C8CDCVNZ,231,1,100,"English, French",32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
6320a2365be249aa93dea1be,613480877420e274a0dd9779,APPROVED,2022-09-13T15:31:11.793000Z,2022-09-13T16:57:11.472000Z,2022-09-14T15:06:58.154000,2022-09-13T16:57:11.866043Z,5160,C8CDCVNZ,251,0,100,"Spanish, Norwegian, English",25,Female,White,Norway,United Kingdom,United Kingdom,Norwegian,No,DATA_EXPIRED
6320a263259bdf10bf77d63c,601c2a9251c0bc6ca76c8d75,APPROVED,2022-09-13T15:31:54.420000Z,2022-09-13T17:25:03.096000Z,2022-09-14T15:06:31.335000,2022-09-13T17:25:03.632958Z,6789,C8CDCVNZ,149,0,100,English,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6320a267ef9629502f4191d0,60f80590e5d06cdf9efcb1bb,APPROVED,2022-09-13T15:31:51.695000Z,2022-09-13T16:04:24.042000Z,2022-09-14T15:07:05.016000,2022-09-13T16:04:24.542263Z,1953,C8CDCVNZ,126,0,100,English,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
6320a2c34c2925d36ebcd6d8,5f4a5983a08b215d74d2cd99,APPROVED,2022-09-13T15:33:23.018000Z,2022-09-13T18:11:58.711000Z,2022-09-14T15:08:08.040000,2022-09-13T18:11:59.125867Z,9516,C8CDCVNZ,136,2,99,English,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6320a3037ca424a5cfbcd6e6,5bec8053b6b5ab00017c7349,APPROVED,2022-09-13T15:34:45.294000Z,2022-09-13T17:49:21.570000Z,2022-09-14T15:06:14.997000,2022-09-13T17:49:22.042259Z,8077,C8CDCVNZ,191,4,98,English,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
6320a313fc1deccd64881726,5ca73fcf7067e70001f7a41f,APPROVED,2022-09-13T15:34:47.329000Z,2022-09-13T16:28:24.851000Z,2022-09-14T15:07:39.577000,2022-09-13T16:28:25.256022Z,3218,C8CDCVNZ,443,5,99,English,23,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Part-Time
6320a49c26e0ea434ebd8c69,60841d3e92be890d07774975,APPROVED,2022-09-13T15:41:36.382000Z,2022-09-13T16:39:13.152000Z,2022-09-14T15:07:26.215000,2022-09-13T16:39:13.608366Z,3457,C8CDCVNZ,148,1,100,English,19,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6320a4cf477ca18c34aed4cc,5c3f3ae7d831ed0001f78c4f,APPROVED,2022-09-13T15:42:11.335000Z,2022-09-13T16:31:57.593000Z,2022-09-14T15:07:12.137000,2022-09-13T16:31:58.016183Z,2987,C8CDCVNZ,461,14,95,English,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6320a64d1eb72da34d218235,5f3bdc715637da0bc38980ba,APPROVED,2022-09-13T15:48:29.734000Z,2022-09-13T17:47:03.649000Z,2022-09-14T15:06:08.798000,2022-09-13T17:47:05.054453Z,7114,C8CDCVNZ,626,4,100,English,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6320cfb54109ca7797493b07,5b258c9ba7cee100011d8aad,APPROVED,2022-09-13T18:53:45.507000Z,2022-09-13T19:45:26.080000Z,2022-09-14T15:06:02.645000,2022-09-13T19:45:26.448317Z,3101,C8CDCVNZ,664,2,100,English,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6320cfb6d0cbd240bb5532d4,610024bfd6e1038ba3b1601d,APPROVED,2022-09-13T18:45:13.228000Z,2022-09-13T20:15:51.336000Z,2022-09-14T15:08:14.581000,2022-09-13T20:15:52.220440Z,5439,C8CDCVNZ,1402,2,100,English,29,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
